codigo,nombre,precio,categoria
"AM0047N","Medalla en acero Virgen de Guadalupe 31x16mm x unid","3500","Dijes"
"AM0054N","Medalla en acero San Benito 10x18mm x und","3000","Dijes"
"8066-2D","Dije mano hamsa 21x15mm x 2und","2400","Dijes"
"ZD0115D","Dije zamak pájaro placa 14x6mm x6 und","2300","Dijes"
"ZD0115N","Dije zamak pájaro placa 14x6mm x12 und","1000","Dijes"
"8220D","Dije zamak ala pequeña 6x18mm paquete x3 unidades","3000","Dijes"
"8220N","Dije zamak ala pequeña 6x18mm x12 unidades","1300","Dijes"
"8234D","Dije en zamak búho rama pequeño 24x18mm x par","3000","Dijes"
"ZD0113N","Dije zamak hoja 11x6mm x12 und","1000","Dijes"
"ZD0113D","Dije zamak hoja 11x6mm paquete x 6 und","2100","Dijes"
"15247D","Dije zamak hoja calada 39x27mm x3 und","3900","Dijes"
"21019D","Dije zamak piña 16x9mm paquete x3 unidades","2700","Dijes"
"8278D","Dije zamak triangulo 17x18mm x3 und","2700","Dijes"
"8278N","Dije en zamak triángulo 18x17mm x12 unidades","1800","Dijes"
"21003N","Dije corona zamak princess 13x11mm x12 und","2000","Amor y relaciones"
"ZD0212D","Dije zamak fonendoscopio 13x26mm x6 unidades","4000","Dijes"
"7442P","Escapulario cuero plateado 28x22mm / x par / Ref-7442P / Ref-7442P","2800","Dijes"
"RD0225D","Dije rodinado hoja con circón x unid","3500","Dijes rodinados"
"0774LA","Dije corazón encasquetado piedra lapislázuli 20x23mm x und","3500","Dijes"
"0774PA","Dije corazón piedra amatista x und","4500","Dijes"
"0759TA","Dije encasquetado acero cuarzo turquesa 13x26 mm x und","4000","Dijes"
"0759OT","Péndulo en acero cilindro cuarzo ojo de tigre 26x13mm x und","4000","Dijes"
"AD0129D","Dije acero letra P 11x9mm x und","800","Dijes"
"AD0123D","Dije en acero letra J 11X7mm x und","800","Dijes"
"AD0119D","Dije acero letra S 12x9mm x und","1100","Dijes de acero"
"AD0122D","Dije en acero letra E 11x9mm x und","800","Dijes"
"AD0125D","Dije en acero letra C11x10mm x und","800","Dijes"
"AD0142D","Dije en acero letra I 11x6mm x und","800","Dijes"
"AD0118D","Dije en acero letra D 11x6mm x und","1100","Dijes"
"AD0133D","Dije acero letra L 11x6mm x unid","800","Dijes"
"AD0130D","Dije acero Letra R 11x6mm x und","800","Dijes"
